State,cases - 1/22/20,cases - 1/23/20,cases - 1/24/20,cases - 1/25/20,cases - 1/26/20,cases - 1/27/20,cases - 1/28/20,cases - 1/29/20,cases - 1/30/20,cases - 1/31/20,cases - 2/1/20,cases - 2/2/20,cases - 2/3/20,cases - 2/4/20,cases - 2/5/20,cases - 2/6/20,cases - 2/7/20,cases - 2/8/20,cases - 2/9/20,cases - 2/10/20,cases - 2/11/20,cases - 2/12/20,cases - 2/13/20,cases - 2/14/20,cases - 2/15/20,cases - 2/16/20,cases - 2/17/20,cases - 2/18/20,cases - 2/19/20,cases - 2/20/20,cases - 2/21/20,cases - 2/22/20,cases - 2/23/20,cases - 2/24/20,cases - 2/25/20,cases - 2/26/20,cases - 2/27/20,cases - 2/28/20,cases - 2/29/20,cases - 3/1/20,cases - 3/2/20,cases - 3/3/20,cases - 3/4/20,cases - 3/5/20,cases - 3/6/20,cases - 3/7/20,cases - 3/8/20,cases - 3/9/20,cases - 3/10/20,cases - 3/11/20,cases - 3/12/20,cases - 3/13/20,cases - 3/14/20,cases - 3/15/20,cases - 3/16/20,cases - 3/17/20,cases - 3/18/20,cases - 3/19/20,cases - 3/20/20,cases - 3/21/20,cases - 3/22/20,cases - 3/23/20,cases - 3/24/20,cases - 3/25/20,cases - 3/26/20,cases - 3/27/20,cases - 3/28/20,cases - 3/29/20,cases - 3/30/20,cases - 3/31/20,cases - 4/1/20,cases - 4/2/20,cases - 4/3/20,cases - 4/4/20,cases - 4/5/20,cases - 4/6/20,cases - 4/7/20,cases - 4/8/20,cases - 4/9/20,cases - 4/10/20,cases - 4/11/20,cases - 4/12/20,cases - 4/13/20,cases - 4/14/20,cases - 4/15/20,cases - 4/16/20,cases - 4/17/20,cases - 4/18/20,cases - 4/19/20,cases - 4/20/20,cases - 4/21/20,cases - 4/22/20,cases - 4/23/20,cases - 4/24/20,cases - 4/25/20,cases - 4/26/20,cases - 4/27/20,cases - 4/28/20,cases - 4/29/20,cases - 4/30/20,cases - 5/1/20,cases - 5/2/20,cases - 5/3/20,cases - 5/4/20,cases - 5/5/20,cases - 5/6/20,cases - 5/7/20,cases - 5/8/20,cases - 5/9/20,cases - 5/10/20,cases - 5/11/20,cases - 5/12/20,cases - 5/13/20,cases - 5/14/20,cases - 5/15/20,cases - 5/16/20,cases - 5/17/20,cases - 5/18/20,cases - 5/19/20,cases - 5/20/20,cases - 5/21/20,cases - 5/22/20,cases - 5/23/20,cases - 5/24/20,cases - 5/25/20,cases - 5/26/20,cases - 5/27/20,cases - 5/28/20,cases - 5/29/20,cases - 5/30/20,cases - 5/31/20,cases - 6/1/20,cases - 6/2/20,cases - 6/3/20,cases - 6/4/20,cases - 6/5/20,cases - 6/6/20,cases - 6/7/20,cases - 6/8/20,cases - 6/9/20,cases - 6/10/20,cases - 6/11/20,cases - 6/12/20,cases - 6/13/20,cases - 6/14/20,cases - 6/15/20,cases - 6/16/20,cases - 6/17/20,cases - 6/18/20,cases - 6/19/20,cases - 6/20/20,cases - 6/21/20,cases - 6/22/20,cases - 6/23/20,cases - 6/24/20,cases - 6/25/20,cases - 6/26/20,cases - 6/27/20,cases - 6/28/20,cases - 6/29/20,cases - 6/30/20,cases - 7/1/20,cases - 7/2/20,cases - 7/3/20,cases - 7/4/20,cases - 7/5/20,cases - 7/6/20,cases - 7/7/20,cases - 7/8/20,cases - 7/9/20,cases - 7/10/20,cases - 7/11/20,cases - 7/12/20,cases - 7/13/20,cases - 7/14/20,cases - 7/15/20,cases - 7/16/20,cases - 7/17/20,cases - 7/18/20,cases - 7/19/20,cases - 7/20/20,cases - 7/21/20,cases - 7/22/20,cases - 7/23/20,cases - 7/24/20,cases - 7/25/20,cases - 7/26/20,cases - 7/27/20,cases - 7/28/20,cases - 7/29/20,cases - 7/30/20,cases - 7/31/20,cases - 8/1/20,cases - 8/2/20,cases - 8/3/20,cases - 8/4/20,cases - 8/5/20,cases - 8/6/20,cases - 8/7/20,cases - 8/8/20,cases - 8/9/20,cases - 8/10/20,cases - 8/11/20,cases - 8/12/20,cases - 8/13/20,cases - 8/14/20,cases - 8/15/20,cases - 8/16/20,cases - 8/17/20,cases - 8/18/20,cases - 8/19/20,cases - 8/20/20,cases - 8/21/20,cases - 8/22/20,cases - 8/23/20,cases - 8/24/20,cases - 8/25/20,cases - 8/26/20,cases - 8/27/20,cases - 8/28/20,cases - 8/29/20,cases - 8/30/20,cases - 8/31/20,cases - 9/1/20,cases - 9/2/20,cases - 9/3/20,cases - 9/4/20,cases - 9/5/20,cases - 9/6/20,cases - 9/7/20,cases - 9/8/20,cases - 9/9/20,cases - 9/10/20,cases - 9/11/20,cases - 9/12/20,cases - 9/13/20,cases - 9/14/20,cases - 9/15/20,cases - 9/16/20
NY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,6,1,27,15,20,14,17,61,30,74,58,98,367,775,1327,1135,2206,1863,2646,2399,3784,3089,3000,4365,3052,4057,3759,3951,4244,6817,5264,4277,4448,4194,5391,5377,5436,5113,4234,3258,3689,5948,4372,3782,3645,3112,2429,2249,2904,3044,4179,5425,3034,2031,1599,2357,2406,2026,2397,1767,1305,1151,1432,1795,1510,1396,1168,853,735,1119,1229,1420,1243,971,643,758,784,1073,872,911,817,642,551,580,909,797,707,571,484,683,537,539,553,570,401,361,351,346,378,423,471,357,319,324,291,318,409,368,341,284,307,299,385,414,361,317,196,261,387,397,472,372,276,266,306,36,613,402,380,348,286,469,427,395,399,388,258,267,440,357,418,386,391,276,313,274,368,399,331,387,273,346,317,326,362,367,361,265,245,343,360,379,374,377,312,210,337,324,309,364,336,294,210,323,291,407,327,326,359,337,388,364,457,444,412,375,267,286,296,389,452,436,373,300,394,335
OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,7,10,10,11,15,16,28,43,67,88,68,113,122,133,236,230,210,241,226,299,305,351,364,259,343,291,314,311,312,315,304,315,264,438,530,596,947,1160,1149,692,335,491,399,350,325,326,378,456,615,614,511,495,480,423,518,475,758,576,332,595,410,401,544,510,445,385,449,429,413,630,537,524,429,483,453,371,408,556,398,410,402,315,381,417,408,301,314,307,277,354,359,368,365,256,365,370,356,599,516,456,468,625,505,542,761,846,696,731,632,636,921,0,2046,791,828,689,812,1092,983,1304,1163,1180,1075,980,1127,1104,1436,1319,950,1058,895,1305,1236,1335,1228,761,945,1130,1194,1483,1311,793,808,796,980,1025,998,1031,1105,752,757,937,1217,1007,968,951,528,663,735,813,949,912,952,551,725,719,934,1064,1110,1037,791,763,1246,988,1152,1138,1146,664,661,565,834,960,1059,1063,713,924,861,884
OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,0,10,5,18,30,35,15,10,35,35,63,147,200,0,339,131,129,217,387,399,278,430,238,187,361,136,402,273,195,258,235,293,212,238,0,0,0,0,1137,222,308,0,447,149,71,326,164,364,331,260,303,182,200,190,323,230,159,248,66,306,318,273,311,392,179,220,233,114,369,432,268,197,139,116,227,111,172,207,0,273,412,291,253,250,144,227,136,397,298,371,553,579,399,450,581,665,1130,897,839,1205,548,748,1218,1102,1001,756,756,576,1476,915,1079,1327,1466,715,1092,2173,1703,1519,1509,1736,1152,1289,2512,2717,1577,1772,2310,528,430,2257,2461,1688,2904,2426,3035,3156,3096,2143,2795,1873,3149,1248,1011,2171,2805,2125,2120,2093,1256,1016,1918,1686,1799,2002,2274,1357,933,1559,1521,1827,2755,2161,1435,892,1663,1678,1777,1787,2542,1926,1625,1724,1948,2234,2515,2919,1084,1554,2080,2196,2047,2373,2509,1741,2209,2734,2451
OR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,7,19,0,2,9,12,14,14,7,19,43,21,33,62,55,57,69,45,133,119,235,154,164,135,199,109,213,173,239,161,154,116,138,194,119,180,190,133,116,73,173,114,138,159,107,114,135,159,121,180,138,100,76,145,152,161,135,107,187,187,183,171,187,216,159,138,161,135,159,138,175,28,147,97,173,43,114,57,90,55,45,166,114,114,130,138,138,78,152,178,228,218,339,270,166,168,417,337,375,237,436,657,289,349,488,420,448,344,453,403,296,590,657,583,341,408,652,861,811,697,711,391,498,503,870,635,941,759,635,873,654,1015,695,823,1015,640,688,602,756,929,896,652,785,778,723,970,856,792,659,616,792,654,593,974,889,597,536,673,586,666,742,960,579,446,536,458,697,607,680,550,496,541,458,462,695,564,624,375,550,308,621,624,607,446,344,394,273,434,503,664,448,351,422,453
PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,4,2,15,5,14,8,16,29,41,66,80,84,130,162,269,384,414,416,503,537,592,755,946,1097,1247,1156,1154,1239,1312,1554,1367,1310,920,1065,898,894,972,1332,1271,951,741,1008,904,1073,1249,1089,873,691,948,862,1088,944,1040,750,644,676,691,835,1033,842,1010,425,652,562,733,773,772,487,638,481,580,761,677,570,569,370,353,612,488,541,532,398,278,476,402,415,352,548,393,276,385,319,366,536,362,262,248,283,266,326,410,394,363,356,398,387,452,468,485,387,391,483,497,650,521,494,377,352,777,663,561,789,634,451,371,726,777,610,805,597,614,555,800,494,753,948,823,623,655,869,648,683,757,696,511,441,667,551,630,592,634,594,469,646,663,775,648,662,517,301,573,446,618,541,623,482,333,439,392,483,648,658,528,408,601,635,909,696,751,540,423,390,729,461,787,718,59,925,898,608
RI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,9,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,935,302,264,463,264,614,1001,982,396,0,330,1227,1435,1227,1284,1378,76,3587,0,0,7731,1246,3502,3276,3125,2983,2237,2558,3748,3332,2992,3436,3766,2048,1057,4909,3342,3068,2728,2303,1208,0,0,0,0,0,0,16652,1255,3521,0,0,0,0,0,0,9543,2058,1794,2266,935,0,0,2917,991,1038,0,0,0,0,0,0,0,0,0,9496,0,0,0,0,0,0,4220,0,0,0,0,0,0,3974,0,0,0,0,0,0,2681,0,0,0,2586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6598,0,3880,0,0,0,0,0,0,5956,0,0,0,0,0,0,5815,0,0,0,0,0,0,6381,0,0,0,0,0,0,5635,0,0,0,0,0,0,6381,0,0,0,0,0,0,5107,0,0,0,0,0,0,4474,0,0,0,0,0,0,5192
SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,4,2,4,2,0,12,17,10,27,25,39,85,91,43,202,84,163,56,167,235,210,305,307,408,505,284,416,262,353,359,264,468,528,0,480,247,223,206,497,322,311,249,126,332,297,307,295,340,0,715,239,286,416,309,449,256,254,171,192,396,437,319,235,254,237,241,317,412,499,297,239,225,237,400,501,503,383,165,462,402,322,666,1356,58,552,522,456,678,864,919,719,994,824,1045,1319,1424,1525,1631,1128,1193,1088,1898,2100,2230,1754,1931,1783,2467,2169,2533,3084,2663,2573,3401,2937,3453,3547,3587,2830,2970,1880,3022,3451,3346,4405,3782,2948,4306,3595,3513,3840,2989,4601,2812,3667,3224,3018,3851,2673,2288,2362,3207,3296,3296,2739,3016,2294,2226,2333,2395,2515,5063,6,3277,1348,1956,3422,0,1843,2022,1187,886,1400,1437,1765,2057,1779,1334,1086,1837,1167,992,2628,2521,2067,1311,1657,1286,2317,3162,1870,1278,1169,649,573,808,4764,1812,3663,1567,1552,1266
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,45,23,11,11,0,0,11,11,0,34,0,0,79,68,34,124,57,136,113,249,113,0,328,407,249,283,317,509,384,825,610,983,1040,1153,1560,1356,2057,1616,1130,1469,1063,0,1356,1164,1108,938,1221,735,362,769,690,859,848,712,486,418,599,656,1436,2702,2803,1402,1096,554,769,690,1074,803,328,441,656,1040,814,1198,1266,1074,260,757,599,916,893,1040,384,463,350,1063,961,339,1051,780,373,588,904,701,870,1029,723,339,441,950,576,441,1017,825,317,305,757,678,633,995,610,407,576,701,769,950,554,396,475,678,893,1051,712,622,475,283,576,904,475,1085,814,509,418,848,644,735,622,1187,1006,554,554,1662,463,882,1164,972,712,656,995,1176,1356,1119,1436,667,588,1153,916,1447,1063,1752,983,938,1390,1413,2170,2860,1594,1684,904,735,7020,3662,4815,4262,2125,2702,2894,3775,2882,3335,2476,2114,1210,1944,2984,3199,3617,2261,1831,2170,3391
TN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,6,1,13,1,21,10,19,31,37,42,88,163,129,114,103,95,187,236,253,306,395,294,373,780,433,312,354,236,507,384,395,398,329,344,360,190,303,245,701,262,356,293,272,611,618,756,568,677,423,265,474,523,1690,985,697,441,214,461,252,518,482,308,782,556,636,636,382,444,138,760,580,274,646,612,558,476,637,521,573,526,562,653,551,748,1040,637,526,691,745,445,745,958,515,700,1128,614,1164,972,1098,532,955,1600,704,780,663,1193,1246,1166,1775,1157,0,2696,1741,2428,2224,2481,1874,1694,1037,2170,3280,2299,2510,2183,1395,4217,2145,3268,3503,3163,3519,2321,2141,3148,1551,3627,2959,2617,4008,3640,3549,2671,3097,4311,3378,1912,1504,2633,2463,3082,3481,2543,2968,1747,1502,2218,2880,2930,1986,2573,1624,1598,2913,2117,2352,1974,2450,994,1211,2769,2609,2343,2173,1163,2609,1978,1986,2956,1502,2645,2445,1354,917,1242,4189,2353,1545,1214,3327,1372,2779
TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,0,1,5,5,2,0,5,11,31,31,12,16,116,66,109,126,117,107,151,146,179,229,237,259,227,222,199,369,367,291,507,318,268,165,141,447,317,318,172,290,123,254,300,303,297,333,293,227,288,297,351,387,442,345,271,357,356,392,422,431,340,345,405,461,491,461,620,268,307,412,436,360,458,365,290,215,217,469,639,417,466,673,204,565,577,557,583,668,491,225,670,844,626,721,806,661,436,1316,1083,1210,1197,1514,1333,1131,1907,1914,2060,1971,1980,1850,1477,2398,2789,2730,2604,2850,1187,1834,3456,3440,3376,3304,3252,2644,1774,3509,3462,6708,3402,3801,2976,2042,3618,3270,3302,2956,2223,1934,1523,3397,3018,3254,2882,3261,0,3912,3190,3089,2650,2475,2426,1727,1539,3412,2192,2335,2373,2894,2117,2736,2536,2397,1898,1698,2095,1403,992,2104,1814,1973,1393,1585,1290,1001,1587,1537,1333,1868,1453,1075,641,557,1526,1385,1205,1528,1208,886,1846,2115
UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,9,3,41,6,22,72,44,41,100,75,137,218,131,143,193,262,359,340,284,259,393,215,527,552,533,259,200,337,405,387,315,315,181,168,421,437,381,393,405,471,259,474,518,490,546,521,365,250,574,549,487,474,599,462,402,455,390,627,568,427,371,246,561,412,499,496,518,437,465,590,487,571,627,399,409,303,303,742,1042,0,168,2118,677,961,979,1475,1650,200,1416,795,820,1397,942,1235,1098,315,1741,1170,1750,1722,1962,1254,1363,1254,1457,1859,2056,1765,1606,1691,1887,1401,1731,1769,2168,1285,1659,1750,2202,2124,2670,1984,1656,1837,1694,1323,352,4071,2293,2227,1600,1460,1996,1622,2617,1959,1092,1569,1301,1151,1447,1747,1382,1114,1422,1344,1257,1784,1522,721,1516,939,1029,1085,1085,1787,1057,926,901,792,889,1681,1435,1082,936,758,1260,1301,1173,1238,1410,1310,848,914,1385,1516,1475,237,2280,1270,1032,1048,1132,1781,2006,2021,1625,1800,2364
VA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,25,12,4,6,26,12,19,26,43,78,40,42,117,82,169,158,176,152,268,275,258,360,465,267,282,534,368,465,542,664,231,539,511,388,460,702,657,568,530,757,746,859,1605,706,0,668,938,726,1038,1234,978,1094,961,902,0,1537,902,996,1036,1155,858,1109,1248,1010,1181,825,882,1170,895,1442,956,908,610,1735,1884,1067,1353,1323,1262,1167,927,974,788,1113,792,1006,1199,963,580,515,556,658,774,745,443,524,518,546,640,740,639,546,628,635,513,739,792,568,533,697,499,624,767,840,746,394,769,750,718,1102,997,1039,1139,938,1269,1064,1172,1097,1241,1105,1162,1189,1001,1322,1457,1119,1761,1084,1173,1067,1153,1072,1145,1544,1356,933,964,2353,1532,1046,774,1173,904,1296,1427,1072,1088,849,1018,872,1009,1148,1422,1046,771,1173,972,1311,1181,1439,1091,986,1202,1085,1327,1305,1108,1404,756,975,1035,1448,1310,1525,1018,888,1098,1003
VT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,16,0,32,0,64,64,0,32,0,256,369,0,673,449,433,449,417,369,433,433,401,433,801,1074,785,369,801,401,369,529,753,321,321,64,48,192,160,369,144,16,176,64,64,32,208,128,112,112,0,64,208,112,176,80,48,48,112,32,48,96,0,16,64,0,32,0,96,0,32,0,128,32,64,0,96,80,48,48,32,32,64,32,80,32,561,32,304,272,192,128,176,256,144,96,32,16,32,0,80,144,48,192,64,16,321,112,32,112,16,96,0,32,288,144,32,176,32,32,48,256,80,96,208,80,64,208,112,144,48,144,144,128,16,176,112,192,64,64,16,0,16,112,80,80,16,64,112,144,48,96,80,32,176,96,96,272,128,96,192,48,48,64,64,192,64,128,96,64,160,64,256,160,144,112,48,48,80,64,32,48,48,0,80,128,144,112,176,112,16
WA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,9,12,16,41,11,32,26,53,135,84,108,118,134,81,151,205,110,269,218,331,247,359,376,251,730,756,546,499,680,326,416,402,280,431,735,418,590,643,579,445,554,437,343,336,255,410,244,478,349,398,295,267,337,340,397,286,244,235,305,357,382,452,285,380,196,377,439,185,391,307,305,246,219,295,215,460,204,294,265,217,168,205,427,295,324,171,292,466,397,361,456,352,298,427,311,370,583,368,412,418,361,205,496,483,366,372,546,362,494,577,767,637,247,678,624,649,642,716,458,582,791,682,1049,781,662,783,1367,658,662,830,871,0,1865,1401,755,995,1567,1142,1262,1166,1048,1001,930,972,1106,1318,1024,896,1188,1027,1027,0,2240,907,675,898,890,1095,914,0,1892,767,651,728,833,1041,935,752,380,700,588,906,487,1052,555,477,431,592,714,783,749,558,423,402,554,632,621,653,500,415,0,621,599,735,608,461,410,435,443
WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,22,14,10,24,43,58,84,88,127,172,58,70,222,210,234,252,211,187,223,340,311,319,337,264,295,240,304,222,316,249,220,148,220,285,263,292,259,252,268,210,386,352,522,570,386,292,357,395,574,790,596,522,467,565,574,543,644,598,479,345,330,502,639,704,860,611,247,340,902,816,878,826,689,527,476,1032,878,1257,898,297,237,651,819,850,617,555,452,342,472,489,563,548,472,412,299,455,443,727,477,661,481,424,455,744,795,895,926,780,546,1029,931,926,991,1268,900,831,850,1027,1290,1451,1596,1321,847,1656,1412,1542,1515,1680,1424,1202,1920,1226,1805,1748,1637,1640,1012,1309,1499,1821,1429,1824,1582,696,1247,1510,1453,1699,2001,1065,862,1243,831,1620,1748,1429,1168,781,1097,1139,1271,1420,1628,778,672,1096,1321,1503,1455,1403,922,450,1692,938,1252,2568,1628,1532,969,1235,1475,2657,2353,2324,2715,1326,11990,2581
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,11,22,22,22,22,100,61,0,262,95,56,123,95,151,156,112,246,218,139,374,374,229,296,100,78,145,324,162,22,285,273,363,106,123,179,112,218,33,139,145,89,84,95,151,167,56,162,100,190,117,156,134,67,50,50,151,134,145,0,151,11,128,190,285,128,519,218,95,123,0,658,223,151,151,78,151,167,123,112,106,33,100,89,89,134,117,139,167,45,206,151,234,201,268,262,112,173,179,262,301,262,296,184,223,262,413,396,357,664,513,591,876,1462,580,519,742,603,826,525,781,960,625,312,234,452,1601,564,804,709,748,519,670,859,564,1216,513,664,647,430,591,591,965,725,703,335,692,759,792,731,910,625,407,547,379,971,502,658,480,218,491,826,536,1066,798,781,753,1428,809,1133,1066,1406,692,904,458,826,1116,926,1953,960,692,898,1233
WY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,0,121,86,52,0,69,35,35,52,138,207,104,311,190,17,173,432,294,276,225,363,207,225,156,156,156,225,156,156,86,121,104,138,156,69,69,69,86,69,86,294,207,121,363,104,156,190,86,173,104,156,138,467,69,121,86,156,104,35,190,104,207,311,121,190,3421,207,225,35,190,415,104,121,173,276,259,104,104,121,35,52,104,190,104,138,190,207,173,501,328,380,138,363,173,449,501,518,104,294,587,415,484,760,726,415,432,553,639,536,570,553,415,484,708,587,518,484,397,847,397,708,812,605,708,743,674,311,1054,864,864,1037,1002,674,518,778,1209,674,985,708,743,657,674,605,657,501,726,207,346,259,553,259,553,1140,778,1019,760,553,1175,639,968,346,605,432,536,847,0,1382,363,622,346,432,743,449,864,276,536,0,1227,847,778,1106,553,847,881,795,2212
