countyFIPS,population_male,population_female,sex_ratio,under_18,over_18,over_or_62,median_age,total_housing
24031,509380,543187,93.8,244087,808480,202674,39.2,390673
24510,282677,319818,88.4,123114,479381,107962,35.5,293633
26005,58153,59174,98.3,28357,88970,24630,40.2,51517
26081,321933,331853,97.0,157809,495977,112448,35.5,257399
26099,425723,449036,94.8,184009,690750,183844,40.7,367934
27053,623320,636108,98.0,276542,982886,220811,36.5,537775
27131,34196,32327,105.8,14884,51639,13072,36.2,25131
28067,32862,35599,92.3,17031,51430,14927,37.6,29143
29037,50586,54368,93.0,25142,79812,22431,41.0,42442
29051,38570,38226,100.9,17241,59555,15251,39.1,33502
29071,52247,51423,101.6,23753,79917,22442,40.4,45538
29189,472353,524592,90.0,219527,777418,221770,40.4,441936
29510,146922,155916,94.2,57502,245336,54271,36.4,177169
33017,63074,67016,94.1,24199,105891,23621,37.3,54311
34005,218445,226939,96.3,92802,352582,93533,41.7,179900
34007,243014,264064,92.0,114758,392320,97826,38.8,206109
34013,384965,414802,92.8,188978,610789,138956,37.8,318814
34021,180597,189214,95.4,78695,291116,68076,38.9,145132
35035,34882,31899,109.4,15459,51322,13847,36.2,31843
36067,222736,239073,93.2,98023,363786,98103,39.3,209344
36069,53729,56135,95.7,22309,87555,26280,43.7,51224
36083,78766,80676,97.6,31179,128263,33797,39.4,73266
36113,31907,32358,98.6,11357,52908,18449,47.1,40207
36117,44790,45274,98.9,19313,70751,21205,44.0,41788
37057,81141,85473,94.9,36641,129973,38104,42.2,75593
37069,32424,35136,92.3,14621,52939,14266,40.6,29018
37071,107209,115637,92.7,50165,172681,44127,40.2,93885
37129,112021,120253,93.2,41986,190288,51066,39.3,113231
37161,31983,34843,91.8,13782,53044,17310,45.0,34473
37171,35224,36724,95.9,15196,56752,18137,44.2,34263
39081,32354,33413,96.8,12485,53282,18221,45.2,32470
39089,85511,90258,94.7,40809,134960,34838,39.8,71052
39169,57444,58523,98.2,28092,87875,25288,38.9,46732
41019,54333,55950,97.1,21351,88932,33418,47.0,50564
41029,106611,112953,94.4,44571,174993,58597,42.9,96251
42055,75735,79100,95.7,34503,120332,35729,40.7,65799
42063,42527,41974,101.3,14818,69683,20275,40.6,39008
42085,55089,55594,99.1,21247,89436,28942,44.8,52310
42091,403331,425273,94.8,178132,650472,180471,41.2,336194
42111,38433,35519,108.2,13094,60858,19909,46.8,38500
42133,221982,226291,98.1,98940,349333,98574,40.9,184880
44007,309606,326478,94.8,129957,506127,119773,37.4,266575
45007,97343,103139,94.4,45426,155056,43767,40.6,88997
45013,91097,97618,93.3,35251,153464,59904,45.5,101255
46099,98105,94771,103.5,49051,143825,31781,35.7,84009
47125,102794,103156,99.6,54940,151010,24042,30.9,82596
47149,159823,165067,96.8,79886,245004,41476,33.8,121829
47165,92547,94602,97.8,43916,143233,36509,40.2,73709
47187,114088,117641,97.0,63088,168641,38120,39.5,85031
48135,82718,79406,104.2,48934,113190,19713,30.9,58685
48183,59025,64682,91.3,31716,91991,23153,35.5,52093
48251,85556,85805,99.7,44421,126940,28998,37.0,62798
48309,124231,130376,95.3,63033,191574,45747,32.9,102458
48347,32131,33580,95.7,15350,50361,10819,31.8,28482
48397,48922,51735,94.6,27170,73487,15499,38.3,35832
48409,34023,32870,103.5,17745,49148,12239,36.7,28478
48423,111659,118562,94.2,56559,173662,45631,36.7,91101
48439,1019965,1064966,95.8,548633,1536298,299033,34.6,779037
48469,44268,47767,92.7,23694,68341,18921,36.4,37079
49049,314444,307769,102.2,207710,414503,60904,24.9,180020
51069,44753,43602,102.6,20659,67696,18559,40.6,34842
51179,75079,74881,100.3,39247,110713,19555,35.8,50458
51510,77087,83443,92.4,29435,131095,23911,36.5,76527
51800,44445,46740,95.1,22080,69105,16750,38.8,37333
53033,1121145,1112018,100.8,452860,1780303,367735,36.8,952597
53077,125234,126212,99.2,74450,176996,42578,33.3,89129
54033,33013,34541,95.6,14002,53552,16885,42.9,31765
55089,43951,45196,97.2,18961,70186,21595,44.3,37783
55127,52101,51617,100.9,21242,82476,22705,40.1,52653
55133,198175,204897,96.7,86697,316375,94508,43.2,166662
72025,57761,66673,86.6,22953,101481,29838,42.6,56612
1043,40794,42648,95.7,18892,64550,18429,40.6,38029
1117,105022,110685,94.9,48670,167037,40234,40.4,88393
