,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41
Philippines,0,0,0,0,0,0,0,0,0,0,1,2,5,8,14,10,8,10,9,10,3,9,6,8,7,8,4,27,21,11,14,18,34,30,51,29,67,33,34,42,45
Poland,0,0,0,0,0,0,0,0,0,0,0,1,7,21,36,35,49,35,30,33,20,18,24,23,28,23,20,15,15,12,15,21,20,18,20,22,21,24,39,57,100
Portugal,0,0,0,0,0,0,0,0,0,0,0,23,117,168,217,194,210,114,81,87,99,94,61,35,14,34,52,42,29,28,19,21,20,22,21,21,28,49,37,61,76
Puerto_Rico,0,0,0,0,0,0,0,0,0,0,0,0,13,50,82,62,72,45,54,36,16,23,20,16,7,13,6,42,44,72,100,169,195,190,153,148,226,232,136,163,138
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,3,9,10,6,3,7,6,3,37,48,58,64,79,47,68,55,32,19,41,38,17,3,9,26,7,12,10,6,13
Romania,0,0,0,0,0,0,0,0,0,0,0,4,20,59,83,71,94,90,87,70,47,44,29,50,49,56,69,69,72,87,118,153,156,145,162,158,134,142,150,157,219
Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,18,27,39,45,48,62,83,76,78,75,65,78,79,68,63,59,58,47,48,51,47,52,58,61,75,86
Rwanda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,2,1,6,2,3,3,5,2,0,3
Saint_Kitts_and_Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint_Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint_Vincent_and_the_Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San_Marino,0,0,0,0,0,0,0,0,295,295,2062,3241,1474,2063,1179,884,590,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao_Tome_and_Principe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,92,92,183,46,0,0,0,46,0,46,0,0,46,0,0,0,0,0,0,0,0,0,0
Saudi_Arabia,0,0,0,0,0,0,0,0,0,0,0,0,1,8,8,10,12,12,20,20,23,36,64,75,85,84,106,80,80,70,53,72,68,73,60,59,58,60,58,53,48
Senegal,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,3,1,7,5,6,4,6,6,14,13,15,8,12,14,9,14,11,10,7,5,4,5,5,3,3
Serbia,0,0,0,0,0,0,0,0,0,0,0,1,20,61,38,57,53,52,29,18,10,5,6,5,7,16,63,129,113,90,81,69,45,33,17,16,10,13,5,7,14
Seychelles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra_Leone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,13,17,11,5,3,2,6,6,3,1,3,0,1,2,0,0,1,1,1,0,0,0,0
Singapore,0,0,0,0,0,0,0,0,0,0,0,3,2,6,5,4,5,8,5,2,2,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Slovakia,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,21,10,14,2,4,0,0,0,0,0,0,0,0,0,0,2,4,0,4,0,7,2,2,9,20,11
Slovenia,0,0,0,0,0,0,0,0,0,0,0,5,49,93,120,91,44,68,25,10,10,10,0,5,0,10,0,0,0,29,0,15,19,20,0,10,5,10,15,20,20
Somalia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,11,6,12,4,5,9,4,3,1,0,1,1,0,0,0,0,0,0,2,0,1,0,1,0,0
South_Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,8,11,14,34,38,62,83,72,90,132,146,168,319,248,351,229,199,166,143,83,83,101,72,128
South_Korea,0,0,0,0,0,0,0,1,4,5,5,8,9,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,6,4,3,3,1
South_Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,8,10,4,3,3,1,4,1,0,1,0,0,0,1,1,0,0,1,5
Spain,0,0,0,0,0,0,0,0,0,5,60,400,1103,1222,948,811,543,383,281,184,-140,1,1,0,253,7,9,4,3,2,13,18,20,53,48,95,87,193,151,187,154
Sri_Lanka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,8,6,13,31,17,20,16,9,8,11,9,6,7,7,4,3,2,2,0,0,0,0,0
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,17,51,51,85,17,68,51,51,51,51,306,204,187,340,68,34,85,68,17
Sweden,0,0,0,0,0,0,0,0,0,0,11,44,190,446,657,651,539,537,504,379,359,274,247,237,202,139,100,86,60,31,23,21,18,20,10,12,13,12,11,13,4
Switzerland,0,0,0,0,0,0,0,0,0,2,13,61,265,334,317,328,243,143,76,69,45,17,4,18,3,2,4,0,2,14,5,6,4,5,5,10,13,26,11,7,16
Syria,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,1,1,0,1,2,4,3,6,7,4,3,9,14,12,14,12,11,11,9,13
Taiwan,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,20,5,1,1,2,2,0,1,2,2,3,1,1,2,3,1,2,2,1,2,3,1
Thailand,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,0,3,2,1,1,0,0,0,0,1,1,0,0,3,1,6,2,0,1,5,8,1,7,1,1
Trinidad_and_Tobago,0,0,0,0,0,0,0,0,0,0,0,0,21,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,28,50,106,128,71,49,70,70
Tunisia,0,0,0,0,0,0,0,0,0,0,0,3,5,13,12,4,1,4,2,1,2,0,1,0,1,0,0,0,0,0,1,0,5,13,6,14,20,39,42,90,133
Turkey,0,0,0,0,0,0,0,0,0,0,0,4,16,56,77,101,91,67,47,40,23,23,17,14,18,16,14,16,14,14,14,14,16,17,27,43,47,53,59,52,49
Uganda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,1,1,2
Ukraine,0,0,0,0,0,0,0,0,0,0,0,0,1,5,13,13,16,20,24,30,20,22,18,24,25,30,26,31,23,28,29,49,37,39,60,73,76,85,93,101,134
United_Arab_Emirates,0,0,0,0,0,0,0,0,0,0,0,2,3,6,14,18,39,55,64,23,24,18,15,10,12,11,10,10,6,5,6,6,7,12,8,6,9,6,8,16,17
United_Kingdom,0,0,0,0,0,0,0,0,0,0,9,45,248,646,972,887,775,615,455,353,308,217,167,107,73,67,45,31,22,16,14,14,11,10,9,6,12,23,31,54,74
United_States_of_America,0,0,0,0,0,0,0,0,0,0,0,15,78,237,383,571,414,384,356,292,237,209,177,155,129,174,125,160,160,215,223,243,212,205,191,169,160,162,156,154,148
United_States_Virgin_Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,192,96,0,96,96,0,0,0,0,0,0,0,0,0,96,96,96,0,288,288,192,192,0,96,0,0
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,3,15,6,6,15,6,6,3,6,3,0,0,6,6,6,6,6,6,3,3,9,6,6,3,0,3,3,3,9
Uzbekistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,7,7,11,13,10,12,11,10,14,12,8,6,7
Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,2,0,3,4,7,8,7,10,10,17,22,17,15,20,21,22,21,15,14
Vietnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western_Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,8,12,9,32,16,16,13,25,9,12,5,6,6,6,4,1,3,0,0,1,0
Zambia,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,0,2,1,0,7,4,7,43,11,18,39,12,10,6,4,13,7,1,1,8
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,1,1,2,7,6,6,30,16,20,14,32,6,9,2,2,0,2
