,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41
Slovenia,0,0,0,0,0,0,0,0,0,76,1140,910,1546,1240,920,592,347,183,76,30,10,30,49,54,120,308,630,640,499,644,451,356,880,1093,1092,1434,2718,3439,4445,5676,10861
Somalia,0,0,0,0,0,0,0,0,0,0,1,0,2,2,13,134,153,173,210,230,148,211,216,173,107,57,66,33,44,29,26,5,19,8,26,33,17,48,77,99,75
South_Africa,0,0,0,0,0,0,0,0,0,1,10,58,157,61,99,173,253,409,578,975,1210,1810,2785,3819,4730,7196,10363,13839,14473,13303,10847,7880,4432,3636,2629,2077,1919,1885,1641,1777,1731
South_Korea,0,0,0,0,3,1,0,168,765,527,156,140,145,106,45,24,14,12,26,29,28,61,61,59,64,61,75,65,61,75,43,45,214,426,435,244,187,140,115,105,110
South_Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,2,36,99,112,333,303,545,135,123,102,78,48,56,84,111,36,18,13,22,16,38,54,39,31,55
Spain,0,0,0,0,0,0,0,0,41,451,2502,7478,11830,9269,6514,4353,3138,1529,1713,810,903,786,434,505,519,539,612,959,2047,3083,4749,5090,8039,10343,12496,13590,14683,16919,16235,14381,15116
Sri_Lanka,0,0,0,0,0,0,0,0,0,0,12,32,10,27,18,40,132,77,53,58,88,215,100,22,21,43,16,267,39,35,9,20,12,28,42,35,66,17,30,174,519
Sudan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,15,42,92,193,243,282,309,243,223,338,128,117,124,153,99,71,50,105,97,80,57,23,5,11,11,6
Suriname,0,0,0,0,0,0,0,0,0,0,17,85,34,34,0,0,0,0,0,17,0,562,1464,1687,1534,3104,1927,2829,5096,6887,6990,10160,10024,9460,6853,5558,4277,2200,1636,2012,1774
Sweden,0,0,0,0,1,0,0,0,18,305,812,1014,2169,3170,3751,3737,4260,3708,4089,3806,3683,4394,5991,7060,7117,7314,3760,2077,1567,1244,1633,2024,2010,1670,1177,1340,1614,2106,3003,3601,4433
Switzerland,0,0,0,0,0,0,0,0,35,399,2111,6720,8546,7121,4535,2689,1450,944,419,293,173,144,116,184,207,395,764,729,793,974,1314,1261,1775,2083,2437,2791,3283,3396,2616,3784,9804
Syria,0,0,0,0,0,0,0,0,0,0,0,1,5,5,3,8,3,1,2,7,27,11,13,18,24,28,59,26,61,87,99,195,329,302,270,265,197,147,153,177,208
Taiwan,0,0,0,3,0,2,2,4,3,1,9,54,47,28,7,12,1,4,0,0,0,0,0,1,0,0,0,1,1,5,3,1,1,0,0,1,1,3,1,1,4
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,451,1119,1438,870,712,511,437,406,379,348,341,328,317,303,286,261,250,255,278,314,311,303,300
Thailand,0,0,0,1,1,2,0,0,0,1,19,92,118,86,51,26,21,7,4,1,0,6,5,3,2,3,4,4,4,5,3,3,4,4,2,4,5,4,5,6,6
Togo,0,0,0,0,0,0,0,0,0,1,0,21,19,29,23,8,16,31,65,180,68,69,64,41,45,89,44,49,76,109,124,109,105,171,127,112,102,111,96,139,104
Trinidad_and_Tobago,0,0,0,0,0,0,0,0,0,0,35,328,243,141,56,7,14,0,0,0,0,7,0,43,0,21,50,0,28,78,243,708,1936,3908,4715,3702,6173,5745,3150,2724,2492
Tunisia,0,0,0,0,0,0,0,0,1,1,17,58,189,222,130,135,68,42,12,10,8,28,3,20,42,12,24,87,67,63,93,129,397,599,771,1118,1910,3283,4107,6210,7701
Turkey,0,0,0,0,0,0,0,0,0,0,5,176,1103,2299,3655,3550,2523,1825,1435,1283,856,824,752,1033,1075,1153,976,848,780,764,810,966,1012,1084,1239,1348,1347,1391,1332,1209,1315
Uganda,0,0,0,0,0,0,0,0,0,0,0,2,5,4,0,0,5,3,5,30,-9,52,42,12,15,20,18,17,9,14,16,22,57,175,134,175,224,365,286,259,198
Ukraine,0,0,0,0,0,0,0,0,0,0,0,15,93,193,407,597,754,760,758,678,601,633,788,994,1242,1461,1237,1164,1226,1410,1715,2277,2589,2817,3306,3853,4283,4930,5248,6615,8053
United_Arab_Emirates,0,0,0,1,4,3,1,4,8,38,39,100,418,1451,2339,3076,3476,3933,4195,5371,6185,4939,4230,3296,2695,2976,3864,3164,2016,2006,2008,1558,1858,2771,2981,4270,5876,5388,6571,7723,7645
United_Kingdom,0,0,0,0,0,1,0,0,9,59,379,1069,2854,4579,4729,4771,4780,4537,3272,2852,2340,1564,1203,1067,956,745,610,600,644,665,737,886,1113,1092,1363,2096,3097,4050,5949,11276,15042
United_States_of_America,0,0,0,0,0,0,0,2,1,20,118,1261,3571,6150,6477,6199,6063,5807,5053,4855,4643,4500,4530,4618,5990,8405,10515,12823,14107,13905,12788,11505,10391,9141,8765,8148,7678,9158,8764,9381,10443
United_States_Virgin_Islands,0,0,0,0,0,0,0,0,0,0,0,1628,1245,1149,862,288,479,670,288,0,0,96,96,192,288,766,3065,9674,8714,5362,7182,10343,23845,19344,13502,4885,2970,4597,4693,287,384
Uruguay,0,0,0,0,0,0,0,0,0,0,83,382,466,252,175,182,244,106,156,75,145,109,59,9,98,144,82,84,217,397,255,211,267,218,178,282,343,330,239,417,455
Uzbekistan,0,0,0,0,0,0,0,0,0,0,3,12,30,74,180,196,74,85,94,88,138,137,218,254,360,536,645,1020,1110,1170,1507,1493,1360,1017,744,631,1221,1284,1068,861,774
Venezuela,0,0,0,0,0,0,0,0,0,0,12,18,17,8,9,22,26,12,21,68,196,171,284,208,347,522,661,807,925,1286,1483,1969,3163,1946,1944,2982,2539,2067,2140,1966,1632
Vietnam,0,0,0,0,0,0,0,0,0,1,2,8,9,4,0,0,0,0,2,3,0,0,0,0,2,0,1,0,0,6,22,20,14,5,2,0,2,0,1,2,1
Western_Sahara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,285,0,0,33,3064,5206,4051,84,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,25,34,39,46,116,40,53,54,69,40,24,15,30,16,10,14,10,7,5,1,3,3
Zambia,0,0,0,0,0,0,0,0,0,0,0,2,18,3,4,11,13,26,71,269,86,92,60,100,27,75,35,143,778,667,1103,886,886,712,516,401,480,247,263,232,250
Zimbabwe,0,0,0,0,0,0,0,0,0,0,0,2,3,2,6,6,5,1,3,5,6,98,56,67,85,42,106,203,457,667,923,453,376,512,288,539,157,117,74,55,84
